map00010	Metabolism	Carbohydrate_Metabolism	Glycolysis_/_Gluconeogenesis
map00020	Metabolism	Carbohydrate_Metabolism	Citrate_cycle_(TCA_cycle)
map00030	Metabolism	Carbohydrate_Metabolism	Pentose_phosphate_pathway
map00040	Metabolism	Carbohydrate_Metabolism	Pentose_and_glucuronate_interconversions
map00051	Metabolism	Carbohydrate_Metabolism	Fructose_and_mannose_metabolism
map00052	Metabolism	Carbohydrate_Metabolism	Galactose_metabolism
map00053	Metabolism	Carbohydrate_Metabolism	Ascorbate_and_aldarate_metabolism
map00061	Metabolism	Lipid_Metabolism	Fatty_acid_biosynthesis
map00071	Metabolism	Lipid_Metabolism	Fatty_acid_metabolism
map00072	Metabolism	Lipid_Metabolism	Synthesis_and_degradation_of_ketone_bodies
map00121	Metabolism	Lipid_Metabolism	Secondary_bile_acid_biosynthesis
map00130	Metabolism	Metabolism_of_Cofactors_and_Vitamins	Ubiquinone_and_other_terpenoid-quinone_biosynthesis
map00190	Metabolism	Energy_Metabolism	Oxidative_phosphorylation
map00230	Metabolism	Nucleotide_Metabolism	Purine_metabolism
map00240	Metabolism	Nucleotide_Metabolism	Pyrimidine_metabolism
map00250	Metabolism	Amino_Acid_Metabolism	Alanine,_aspartate_and_glutamate_metabolism
map00253	Metabolism	Metabolism_of_Terpenoids_and_Polyketides	Tetracycline_biosynthesis
map00260	Metabolism	Amino_Acid_Metabolism	Glycine,_serine_and_threonine_metabolism
map00270	Metabolism	Amino_Acid_Metabolism	Cysteine_and_methionine_metabolism
map00280	Metabolism	Amino_Acid_Metabolism	Valine,_leucine_and_isoleucine_degradation
map00281	Metabolism	Metabolism_of_Terpenoids_and_Polyketides	Geraniol_degradation
map00290	Metabolism	Amino_Acid_Metabolism	Valine,_leucine_and_isoleucine_biosynthesis
map00300	Metabolism	Amino_Acid_Metabolism	Lysine_biosynthesis
map00310	Metabolism	Amino_Acid_Metabolism	Lysine_degradation
map00311	Metabolism	Biosynthesis_of_Other_Secondary_Metabolites	Penicillin_and_cephalosporin_biosynthesis
